date,event,service_adjustments,in_effect,entity,sched_to_apply,remove_to_simplify
1/1/2022,Sat. New Year's Day,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday,
1/1/2022,Sat. New Year's Day,Sunday Schedules,ALL DIVISIONS,nyct,Sunday,
1/17/2022,Mon. M. L. King's Birthday*,Reduced Weekday Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
1/17/2022,Mon. M. L. King's Birthday*,Reduced Weekday Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/1/2022,Tue. Lunar New Year*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/1/2022,Tue. Lunar New Year*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/21/2022,Mon. President's Day,Saturday Schedules,ALL DIVISIONS EXCEPT CP,mtabus,Saturday,
2/21/2022,Mon. President's Day,"Modified Saturday Schedules (QM5, QM20)",COLLEGE POINT ONLY,mtabus,,TRUE
2/21/2022,Mon. President's Day,Reduced Weekday Schedules,-,mtabus,Weekday (school closed),TRUE
2/21/2022,Mon. President's Day,Saturday Schedules,"Bk, Bx, Mn, Qns",nyct,Saturday,
2/21/2022,Mon. President's Day,"Modified Saturday Schedules (QM5, QM20)",-,nyct,,TRUE
2/21/2022,Mon. President's Day,Reduced Weekday Schedules,Staten Island Only,nyct,Weekday (school closed),TRUE
2/22/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/22/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/23/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/23/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/24/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/24/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
2/25/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
2/25/2022,Mid Winter Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
3/13/2022,Sun. Daylight Saving Time,Time Patches,ALL DIVISIONS,mtabus,,TRUE
3/13/2022,Sun. Daylight Saving Time,Time Patches,ALL DIVISIONS,nyct,,TRUE
4/15/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/15/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/16/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/16/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/17/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/17/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/18/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/18/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/19/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/19/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/20/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/20/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/21/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/21/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
4/22/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
4/22/2022,Spring Recess*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
5/2/2022,Mon. Eid Al Fitr*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
5/2/2022,Mon. Eid Al Fitr*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
5/30/2022,Mon. Memorial Day,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday,
5/30/2022,Mon. Memorial Day,Sunday Schedules,ALL DIVISIONS,nyct,Sunday,
6/9/2022,Thu. Anniversary Day*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
6/9/2022,Thu. Anniversary Day*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
6/20/2022,Mon. Juneteenth (Observed)*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
6/20/2022,Mon. Juneteenth (Observed)*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
6/27/2022,Mon. (End of School Year)*,Early Dismissal - Weekday School Open Schedules,ALL DIVISIONS,mtabus,,TRUE
6/27/2022,Mon. (End of School Year)*,Early Dismissal - Weekday School Open Schedules,ALL DIVISIONS,nyct,,TRUE
6/28/2022,Tue. - Thu.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
6/28/2022,Tue. - Thu.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
6/29/2022,Tue. - Thu.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
6/29/2022,Tue. - Thu.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
6/30/2022,Tue. - Thu.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
6/30/2022,Tue. - Thu.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
7/1/2022,Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
7/1/2022,Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
7/4/2022,Mon. Independence Day,Saturday Schedules,ALL DIVISIONS,mtabus,Saturday,
7/4/2022,Mon. Independence Day,Saturday Schedules,ALL DIVISIONS,nyct,Saturday,
8/15/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/15/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/16/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/16/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/17/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/17/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/18/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/18/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/19/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/19/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/22/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/22/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/23/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/23/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/24/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/24/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/25/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/25/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/26/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/26/2022,Mon. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/29/2022,Mon. - Wed.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/29/2022,Mon. - Wed.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/30/2022,Mon. - Wed.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/30/2022,Mon. - Wed.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
8/31/2022,Mon. - Wed.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
8/31/2022,Mon. - Wed.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
9/1/2022,Thu. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
9/1/2022,Thu. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
9/2/2022,Thu. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
9/2/2022,Thu. - Fri.,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
9/5/2022,Mon. Labor Day,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday,
9/5/2022,Mon. Labor Day,Sunday Schedules,ALL DIVISIONS,nyct,Sunday,
9/6/2022,Teacher Prep Days*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
9/6/2022,Teacher Prep Days*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
9/7/2022,Teacher Prep Days*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
9/7/2022,Teacher Prep Days*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
9/26/2022,Mon. - Tue. Rosh Hashanah*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
9/26/2022,Mon. - Tue. Rosh Hashanah*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
9/27/2022,Mon. - Tue. Rosh Hashanah*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
9/27/2022,Mon. - Tue. Rosh Hashanah*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
10/5/2022,Wed. Yom Kippur,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
10/5/2022,Wed. Yom Kippur,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
10/10/2022,Mon. Indigenous People's Day,Reduced Weekday Schedules,-,mtabus,Weekday (school closed),TRUE
10/10/2022,Mon. Indigenous People's Day,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
10/10/2022,Mon. Indigenous People's Day,Reduced Weekday Schedules,"Bk, Bx, Mn, Qns",nyct,Weekday (school closed),
10/10/2022,Mon. Indigenous People's Day,Weekday School Closed Schedules,Staten Island Only,nyct,Weekday (school closed),TRUE
11/6/2022,Sun. Standard Time,Time Patches,ALL DIVISIONS,mtabus,,TRUE
11/6/2022,Sun. Standard Time,Time Patches,ALL DIVISIONS,nyct,,TRUE
11/8/2022,Tue. Election Day*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
11/8/2022,Tue. Election Day*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
11/11/2022,Fri. Veterans Day*,Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
11/11/2022,Fri. Veterans Day*,Weekday School Closed Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
11/24/2022,Thu. Thanksgiving,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday,
11/24/2022,Thu. Thanksgiving,Sunday Schedules,ALL DIVISIONS,nyct,Sunday,
11/25/2022,Fri. Day after Thanksgiving,Reduced Weekday Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
11/25/2022,Fri. Day after Thanksgiving,Reduced Weekday Schedules,ALL DIVISIONS,nyct,Weekday (school closed),
12/25/2022,Sun. Christmas Day,Sunday Schedules,ALL DIVISIONS,mtabus,Sunday,
12/25/2022,Sun. Christmas Day,Sunday Schedules,ALL DIVISIONS,nyct,Sunday,
12/26/2022,Mon. Christmas Day (Observed),Saturday Schedules,ALL DIVISIONS,mtabus,Saturday,
12/26/2022,Mon. Christmas Day (Observed),Saturday Schedules,ALL DIVISIONS,nyct,Saturday,
12/27/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,-,mtabus,Weekday (school closed),TRUE
12/27/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
12/27/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,"Bk, Bx, Mn, Qns",nyct,Weekday (school closed),
12/27/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,Staten Island Only,nyct,Weekday (school closed),TRUE
12/28/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,-,mtabus,Weekday (school closed),TRUE
12/28/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
12/28/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,"Bk, Bx, Mn, Qns",nyct,Weekday (school closed),
12/28/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,Staten Island Only,nyct,Weekday (school closed),TRUE
12/29/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,-,mtabus,Weekday (school closed),TRUE
12/29/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
12/29/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,"Bk, Bx, Mn, Qns",nyct,Weekday (school closed),
12/29/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,Staten Island Only,nyct,Weekday (school closed),TRUE
12/30/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,-,mtabus,Weekday (school closed),TRUE
12/30/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,ALL DIVISIONS,mtabus,Weekday (school closed),
12/30/2022,"Tue. - Fri., Christmas Week",Reduced Weekday Schedules,"Bk, Bx, Mn, Qns",nyct,Weekday (school closed),
12/30/2022,"Tue. - Fri., Christmas Week",Weekday School Closed Schedules,Staten Island Only,nyct,Weekday (school closed),TRUE
